model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko,working_time, working_time1,working_time2
0,6,48000,1000,125,64060078,0,0.870299447,0,870299447
0,6,48000,1000,125,64337909,0,0.862153529,0,862153529
0,6,48000,1000,125,64108784,0,0.856802414,0,856802414
0,6,48000,1000,125,64805803,0,0.852076532,0,852076532
0,6,48000,1000,125,64750323,0,0.860979134,0,860979134
0,6,48000,1000,125,64534503,0,0.856048238,0,856048238
0,6,48000,1000,125,64745501,0,0.861185204,0,861185204
0,6,48000,1000,125,65793045,0,0.859570627,0,859570627
0,6,48000,1000,125,64816912,0,0.865495454,0,865495454
0,6,48000,1000,125,64901628,0,0.858584686,0,858584686
0,6,48000,2000,125,253838828,0,3.172191863,3,172191863
0,6,48000,2000,125,253077172,0,3.181751309,3,181751309
0,6,48000,2000,125,253711997,0,3.169189169,3,169189169
0,6,48000,2000,125,254388997,0,3.170040276,3,170040276
0,6,48000,2000,125,253599448,0,3.172364428,3,172364428
0,6,48000,2000,125,254574788,0,3.172256076,3,172256076
0,6,48000,2000,125,254182577,0,3.170892077,3,170892077
0,6,48000,2000,125,254180807,0,3.166815140,3,166815140
0,6,48000,2000,125,254205404,0,3.168814836,3,168814836
0,6,48000,2000,125,255032429,0,3.168976754,3,168976754
0,6,48000,3000,125,571223575,0,7.196409960,7,19640996
0,6,48000,3000,125,574018733,0,7.172692710,7,17269271
0,6,48000,3000,125,575034966,0,7.194146130,7,19414613
0,6,48000,3000,125,574693598,0,7.132668120,7,13266812
0,6,48000,3000,125,576064321,0,7.174628210,7,17462821
0,6,48000,3000,125,576194142,0,7.159885430,7,15988543
0,6,48000,3000,125,576028738,0,7.129930420,7,12993042
0,6,48000,3000,125,574260249,0,7.189819450,7,18981945
0,6,48000,3000,125,577190050,0,7.212852340,7,21285234
0,6,48000,3000,125,575738333,0,7.123353700,7,12335370
1,6,48000,1000,125,66380445,0,0.876915667,0,876915667
1,6,48000,1000,125,66305189,0,0.877416696,0,877416696
1,6,48000,1000,125,66344740,0,0.870799889,0,870799889
1,6,48000,1000,125,66170118,0,0.866755761,0,866755761
1,6,48000,1000,125,66034133,0,0.876401310,0,876401310
1,6,48000,1000,125,66331617,0,0.875250764,0,875250764
1,6,48000,1000,125,66768872,0,0.884074977,0,884074977
1,6,48000,1000,125,66569776,0,0.877148628,0,877148628
1,6,48000,1000,125,65837417,0,0.865768379,0,865768379
1,6,48000,1000,125,65789444,0,0.865919826,0,865919826
1,6,48000,2000,125,257585095,0,3.194104053,3,194104053
1,6,48000,2000,125,257785473,0,3.206857336,3,206857336
1,6,48000,2000,125,258386729,0,3.191906494,3,191906494
1,6,48000,2000,125,258346324,0,3.197266268,3,197266268
1,6,48000,2000,125,258939584,0,3.192552207,3,192552207
1,6,48000,2000,125,257846935,0,3.193838122,3,193838122
1,6,48000,2000,125,257675243,0,3.192559613,3,192559613
1,6,48000,2000,125,257860546,0,3.198900102,3,198900102
1,6,48000,2000,125,258168345,0,3.194446284,3,194446284
1,6,48000,2000,125,257655224,0,3.189478037,3,189478037
1,6,48000,3000,125,577244799,0,7.808454450,7,80845445
1,6,48000,3000,125,578883223,0,7.109380040,7,109380040
1,6,48000,3000,125,598729791,0,7.778841550,7,77884155
1,6,48000,3000,125,584649566,0,7.106306957,7,106306957
1,6,48000,3000,125,586014735,0,7.101584940,7,101584940
1,6,48000,3000,125,584409148,0,7.108875555,7,108875555
1,6,48000,3000,125,592829110,0,7.105043327,7,105043327
1,6,48000,3000,125,578029160,0,7.381222290,7,38122229
1,6,48000,3000,125,580483072,0,7.106385966,7,106385966
1,6,48000,3000,125,582892917,0,7.108990457,7,108990457
2,6,48000,1000,125,69800908,0,0.869816495,0,869816495
2,6,48000,1000,125,69566411,0,0.861670224,0,861670224
2,6,48000,1000,125,69415105,0,0.864663724,0,864663724
2,6,48000,1000,125,69252997,0,0.855570098,0,855570098
2,6,48000,1000,125,69590886,0,0.862120531,0,862120531
2,6,48000,1000,125,68922370,0,0.857147073,0,857147073
2,6,48000,1000,125,69178351,0,0.862113347,0,862113347
2,6,48000,1000,125,69360723,0,0.864956248,0,864956248
2,6,48000,1000,125,69022712,0,0.861733304,0,861733304
2,6,48000,1000,125,69713140,0,0.862635583,0,862635583
2,6,48000,2000,125,259820685,0,3.187156086,3,187156086
2,6,48000,2000,125,262040834,0,3.173868182,3,173868182
2,6,48000,2000,125,261954957,0,3.171301417,3,171301417
2,6,48000,2000,125,261457643,0,3.184029579,3,184029579
2,6,48000,2000,125,260523258,0,3.173356578,3,173356578
2,6,48000,2000,125,261596315,0,3.167406071,3,167406071
2,6,48000,2000,125,259771918,0,3.171227933,3,171227933
2,6,48000,2000,125,263884273,0,3.168118249,3,168118249
2,6,48000,2000,125,262691039,0,3.173588539,3,173588539
2,6,48000,2000,125,260446538,0,3.170182533,3,170182533
2,6,48000,3000,125,581941442,0,7.237195800,7,23719580
2,6,48000,3000,125,579043745,0,7.118606030,7,11860603
2,6,48000,3000,125,582442661,0,7.179866970,7,17986697
2,6,48000,3000,125,583268161,0,7.144450760,7,14445076
2,6,48000,3000,125,582734287,0,7.186376750,7,18637675
2,6,48000,3000,125,591770763,0,7.176514900,7,17651490
2,6,48000,3000,125,583913117,0,7.129530220,7,12953022
2,6,48000,3000,125,582749240,0,7.169591680,7,16959168
2,6,48000,3000,125,578954207,0,7.198864280,7,19886428
2,6,48000,3000,125,584300567,0,7.152963760,7,15296376
0,12,48000,1000,125,57315893,0,0.519976183,0,519976183
0,12,48000,1000,125,57189734,0,0.520606772,0,520606772
0,12,48000,1000,125,57272009,0,0.537266066,0,537266066
0,12,48000,1000,125,57246069,0,0.519079305,0,519079305
0,12,48000,1000,125,57411413,0,0.520022908,0,520022908
0,12,48000,1000,125,57408788,0,0.520123057,0,520123057
0,12,48000,1000,125,57133093,0,0.508919346,0,508919346
0,12,48000,1000,125,57484838,0,0.518732962,0,518732962
0,12,48000,1000,125,57496679,0,0.521331165,0,521331165
0,12,48000,1000,125,57516455,0,0.518817971,0,518817971
0,12,48000,2000,125,219922227,0,1.793011993,1,793011993
0,12,48000,2000,125,219030750,0,1.801085947,1,801085947
0,12,48000,2000,125,219653796,0,1.792937842,1,792937842
0,12,48000,2000,125,220276779,0,1.788187996,1,788187996
0,12,48000,2000,125,221184981,0,1.836626586,1,836626586
0,12,48000,2000,125,220963607,0,1.809757605,1,809757605
0,12,48000,2000,125,221378828,0,1.809061928,1,809061928
0,12,48000,2000,125,220715011,0,1.787015572,1,787015572
0,12,48000,2000,125,222493754,0,1.833394951,1,833394951
0,12,48000,2000,125,220366684,0,1.788821388,1,788821388
0,12,48000,3000,125,496220471,0,3.936266492,3,936266492
0,12,48000,3000,125,494759903,0,3.902333643,3,902333643
0,12,48000,3000,125,495226699,0,3.924649987,3,924649987
0,12,48000,3000,125,493736529,0,3.902571843,3,902571843
0,12,48000,3000,125,490880580,0,3.929791935,3,929791935
0,12,48000,3000,125,491244775,0,3.946079004,3,946079004
0,12,48000,3000,125,491751915,0,3.905751241,3,905751241
0,12,48000,3000,125,488878875,0,3.929586909,3,929586909
0,12,48000,3000,125,491460045,0,3.944130580,3,944130580
0,12,48000,3000,125,491435021,0,3.924678943,3,924678943
1,12,48000,1000,125,58719882,0,0.553540803,0,553540803
1,12,48000,1000,125,58963655,0,0.561790326,0,561790326
1,12,48000,1000,125,59275117,0,0.572075396,0,572075396
1,12,48000,1000,125,58605624,0,0.552200644,0,552200644
1,12,48000,1000,125,58743563,0,0.549977766,0,549977766
1,12,48000,1000,125,58916414,0,0.569393462,0,569393462
1,12,48000,1000,125,59023042,0,0.561070163,0,561070163
1,12,48000,1000,125,58664034,0,0.551661116,0,551661116
1,12,48000,1000,125,58311923,0,0.542561737,0,542561737
1,12,48000,1000,125,58839998,0,0.561972635,0,561972635
1,12,48000,2000,125,222344280,0,1.807807396,1,807807396
1,12,48000,2000,125,222315715,0,1.812367896,1,812367896
1,12,48000,2000,125,225005650,0,1.811679028,1,811679028
1,12,48000,2000,125,222563822,0,1.812904263,1,812904263
1,12,48000,2000,125,225373141,0,1.825000747,1,825000747
1,12,48000,2000,125,222766885,0,1.842271831,1,842271831
1,12,48000,2000,125,222439006,0,1.813446538,1,813446538
1,12,48000,2000,125,223154214,0,1.812474309,1,812474309
1,12,48000,2000,125,223536354,0,1.810007116,1,810007116
1,12,48000,2000,125,222112285,0,1.812371161,1,812371161
1,12,48000,3000,125,501948727,0,3.958893174,3,958893174
1,12,48000,3000,125,497953559,0,3.934028568,3,934028568
1,12,48000,3000,125,496159558,0,3.969534990,3,969534990
1,12,48000,3000,125,494013628,0,3.940845078,3,940845078
1,12,48000,3000,125,493360431,0,3.935598887,3,935598887
1,12,48000,3000,125,491399499,0,3.942719767,3,942719767
1,12,48000,3000,125,492257102,0,3.941238049,3,941238049
1,12,48000,3000,125,492262595,0,3.950621828,3,950621828
1,12,48000,3000,125,493332538,0,3.935797468,3,935797468
1,12,48000,3000,125,492310202,0,3.963138285,3,963138285
2,12,48000,1000,125,64998308,0,0.534380602,0,534380602
2,12,48000,1000,125,63958577,0,0.519975023,0,519975023
2,12,48000,1000,125,63907246,0,0.519944119,0,519944119
2,12,48000,1000,125,63986470,0,0.519163834,0,519163834
2,12,48000,1000,125,65972426,0,0.537302951,0,537302951
2,12,48000,1000,125,65658951,0,0.538860176,0,538860176
