model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko,working_time, working_time1, working_time2
0,6,48000,1000000,125,2442559,0,0.57432283,0,57432283
0,6,48000,1000000,125,2958672,0,0.43060749,0,43060749
0,6,48000,1000000,125,2665704,0,0.45364763,0,45364763
0,6,48000,1000000,125,2628594,0,0.45592838,0,45592838
0,6,48000,1000000,125,2704827,0,0.43089728,0,43089728
0,6,48000,1000000,125,2656487,0,0.44053527,0,44053527
0,6,48000,1000000,125,2920586,0,0.41456082,0,41456082
0,6,48000,1000000,125,2729851,0,0.44217139,0,44217139
0,6,48000,1000000,125,2814385,0,0.42240782,0,42240782
0,6,48000,1000000,125,2749077,0,0.44226904,0,44226904
0,6,48000,10000000,125,28988023,0,0.41134480,0,411344802
0,6,48000,10000000,125,29485947,0,0.42344834,0,423448341
0,6,48000,10000000,125,28898485,0,0.40760166,0,407601658
0,6,48000,10000000,125,29999312,0,0.41404367,0,414043669
0,6,48000,10000000,125,29453477,0,0.42161323,0,421613228
0,6,48000,10000000,125,28875537,0,0.41531899,0,415318987
0,6,48000,10000000,125,29241441,0,0.41458366,0,414583664
0,6,48000,10000000,125,28946703,0,0.41306243,0,413062430
0,6,48000,10000000,125,29761521,0,0.41723065,0,417230646
0,6,48000,10000000,125,29921127,0,0.42954400,0,429543997
0,6,48000,100000000,125,296273412,0,4.16971822,4,169718220
0,6,48000,100000000,125,296815402,0,4.16831438,4,168314376
0,6,48000,100000000,125,296950595,0,4.14362171,4,143621706
0,6,48000,100000000,125,290852771,0,4.91368741,4,91368741
0,6,48000,100000000,125,293214703,0,4.12173712,4,121737122
0,6,48000,100000000,125,289519583,0,4.48369012,4,48369012
0,6,48000,100000000,125,295042396,0,4.16148161,4,161481605
0,6,48000,100000000,125,301328025,0,4.16288831,4,162888309
0,6,48000,100000000,125,295666235,0,4.16078864,4,160788641
0,6,48000,100000000,125,300115869,0,4.21560006,4,215600059
1,6,48000,1000000,125,1269284,0,0.20455336,0,20455336
1,6,48000,1000000,125,1250913,0,0.21232573,0,21232573
1,6,48000,1000000,125,1402706,0,0.20204828,0,20204828
1,6,48000,1000000,125,1262143,0,0.20510661,0,20510661
1,6,48000,1000000,125,1253049,0,0.18292968,0,18292968
1,6,48000,1000000,125,1280270,0,0.20075302,0,20075302
1,6,48000,1000000,125,1402157,0,0.20430382,0,20430382
1,6,48000,1000000,125,1361874,0,0.18520563,0,18520563
1,6,48000,1000000,125,1374325,0,0.18394616,0,18394616
1,6,48000,1000000,125,1376400,0,0.19125561,0,19125561
1,6,48000,10000000,125,14087550,0,0.18507354,0,185073538
1,6,48000,10000000,125,14435876,0,0.18658288,0,186582884
1,6,48000,10000000,125,13807094,0,0.18431308,0,184313083
1,6,48000,10000000,125,13479946,0,0.18588888,0,185888884
1,6,48000,10000000,125,13537991,0,0.18305089,0,183050889
1,6,48000,10000000,125,13480251,0,0.17938092,0,179380921
1,6,48000,10000000,125,12925931,0,0.18245394,0,182453940
1,6,48000,10000000,125,13564602,0,0.18633598,0,186335983
1,6,48000,10000000,125,14082971,0,0.18188198,0,181881979
1,6,48000,10000000,125,13644863,0,0.18936087,0,189360867
1,6,48000,100000000,125,135181660,0,1.78725201,1,787252010
1,6,48000,100000000,125,135735371,0,1.80307572,1,803075718
1,6,48000,100000000,125,137373977,0,1.79799275,1,797992751
1,6,48000,100000000,125,136368731,0,1.81495518,1,814955180
1,6,48000,100000000,125,140463751,0,1.83768897,1,837688970
1,6,48000,100000000,125,136087970,0,1.80902941,1,809029405
1,6,48000,100000000,125,137454421,0,1.80218437,1,802184369
1,6,48000,100000000,125,134986898,0,1.80517877,1,805178767
1,6,48000,100000000,125,137799391,0,1.80808726,1,808087260
1,6,48000,100000000,125,137691664,0,1.82228670,1,822286698
2,6,48000,1000000,125,1011594,0,0.23448446,0,23448446
2,6,48000,1000000,125,1207882,0,0.19715337,0,19715337
2,6,48000,1000000,125,1101742,0,0.15550460,0,15550460
2,6,48000,1000000,125,1194028,0,0.15772510,0,15772510
2,6,48000,1000000,125,1228390,0,0.15671423,0,15671423
2,6,48000,1000000,125,1129880,0,0.17429726,0,17429726
2,6,48000,1000000,125,1339536,0,0.17198052,0,17198052
2,6,48000,1000000,125,1187375,0,0.15349133,0,15349133
2,6,48000,1000000,125,1279477,0,0.16232730,0,16232730
2,6,48000,1000000,125,1125242,0,0.15593562,0,15593562
2,6,48000,10000000,125,13058072,0,0.14488455,0,144884554
2,6,48000,10000000,125,12965238,0,0.15671005,0,156710046
2,6,48000,10000000,125,12683256,0,0.15494480,0,154944799
2,6,48000,10000000,125,12497222,0,0.15494734,0,154947337
2,6,48000,10000000,125,12735502,0,0.15100973,0,151009733
2,6,48000,10000000,125,12705351,0,0.15759066,0,157590661
2,6,48000,10000000,125,12664152,0,0.15349660,0,153496602
2,6,48000,10000000,125,11597993,0,0.14033963,0,140339634
2,6,48000,10000000,125,11567353,0,0.14170605,0,141706051
2,6,48000,10000000,125,12621733,0,0.15480474,0,154804736
2,6,48000,100000000,125,130204623,0,1.50630062,1,506300619
2,6,48000,100000000,125,130982513,0,1.50365341,1,503653410
2,6,48000,100000000,125,130846894,0,1.49639704,1,496397040
2,6,48000,100000000,125,131648283,0,1.53514299,1,535142989
2,6,48000,100000000,125,120852901,0,1.38392690,1,383926897
2,6,48000,100000000,125,137278091,0,1.54881997,1,548819970
2,6,48000,100000000,125,129853367,0,1.48699670,1,486996698
2,6,48000,100000000,125,123745960,0,1.41975102,1,419751021
2,6,48000,100000000,125,129646213,0,1.48857420,1,488574198
2,6,48000,100000000,125,123197073,0,1.39906751,1,399067511
0,12,48000,1000000,125,3843008,0,0.45732723,0,45732723
0,12,48000,1000000,125,3850454,0,0.46897431,0,46897431
0,12,48000,1000000,125,3892568,0,0.44706957,0,44706957
0,12,48000,1000000,125,3529349,0,0.49356664,0,49356664
0,12,48000,1000000,125,3711538,0,0.42484478,0,42484478
0,12,48000,1000000,125,3909719,0,0.46358372,0,46358372
0,12,48000,1000000,125,4025014,0,0.45828015,0,45828015
0,12,48000,1000000,125,3234672,0,0.56214958,0,56214958
0,12,48000,1000000,125,3241447,0,0.53403932,0,53403932
0,12,48000,1000000,125,3722464,0,0.55291462,0,55291462
0,12,48000,10000000,125,40398151,0,0.43519269,0,435192685
0,12,48000,10000000,125,39155966,0,0.41956672,0,419566720
0,12,48000,10000000,125,37911829,0,0.44553900,0,445538997
0,12,48000,10000000,125,39239035,0,0.42400193,0,424001929
0,12,48000,10000000,125,39628317,0,0.42909217,0,429092174
0,12,48000,10000000,125,39190208,0,0.41702811,0,417028114
0,12,48000,10000000,125,39119772,0,0.42589904,0,425899043
0,12,48000,10000000,125,39223899,0,0.42138960,0,421389598
0,12,48000,10000000,125,38675804,0,0.42249386,0,422493858
0,12,48000,10000000,125,38558862,0,0.42045253,0,420452527
0,12,48000,100000000,125,388778607,0,4.21461391,4,214613912
0,12,48000,100000000,125,389925515,0,4.22618024,4,226180240
0,12,48000,100000000,125,395773462,0,4.25150078,4,251500783
0,12,48000,100000000,125,388624127,0,4.19261369,4,192613689
0,12,48000,100000000,125,389880594,0,4.18816573,4,188165728
0,12,48000,100000000,125,394687894,0,4.19886372,4,198863719
0,12,48000,100000000,125,392002232,0,4.19719714,4,197197140
0,12,48000,100000000,125,391350255,0,4.20017451,4,200174507
0,12,48000,100000000,125,394097075,0,4.23977639,4,239776386
0,12,48000,100000000,125,393764190,0,4.19804568,4,198045675
1,12,48000,1000000,125,2334223,0,0.41122712,0,41122712
1,12,48000,1000000,125,2476617,0,0.37760387,0,37760387
1,12,48000,1000000,125,2435602,0,0.34807513,0,34807513
1,12,48000,1000000,125,1648983,0,0.55865330,0,55865330
1,12,48000,1000000,125,1449887,0,0.51274512,0,51274512
1,12,48000,1000000,125,1835567,0,0.52756894,0,52756894
1,12,48000,1000000,125,2102961,0,0.44793459,0,44793459
1,12,48000,1000000,125,1649227,0,0.50423489,0,50423489
1,12,48000,1000000,125,2977592,0,0.39104314,0,39104314
1,12,48000,1000000,125,1890742,0,0.42421322,0,42421322
1,12,48000,10000000,125,27568960,0,0.30478156,0,304781561
1,12,48000,10000000,125,26474359,0,0.29229994,0,292299938
1,12,48000,10000000,125,27491018,0,0.30299007,0,302990070
1,12,48000,10000000,125,26502862,0,0.29786890,0,297868897
1,12,48000,10000000,125,28760302,0,0.31543443,0,315434426
1,12,48000,10000000,125,25663569,0,0.33533054,0,335330543
1,12,48000,10000000,125,27207755,0,0.30261361,0,302613611
1,12,48000,10000000,125,27978444,0,0.31378664,0,313786642
1,12,48000,10000000,125,30124313,0,0.33636804,0,336368035
1,12,48000,10000000,125,25051205,0,0.31503746,0,315037461
1,12,48000,100000000,125,266480824,0,2.89386802,2,893868016
1,12,48000,100000000,125,267896470,0,2.94261465,2,942614650
1,12,48000,100000000,125,266425771,0,2.92043297,2,920432969
1,12,48000,100000000,125,278604206,0,3.68491401,3,68491401
1,12,48000,100000000,125,273370699,0,2.99636349,2,996363488
1,12,48000,100000000,125,268780135,0,2.94634823,2,946348228
1,12,48000,100000000,125,264281672,0,2.90428619,2,904286194
1,12,48000,100000000,125,269873089,0,2.94768308,2,947683077
1,12,48000,100000000,125,259377448,0,2.82414007,2,824140066
1,12,48000,100000000,125,265323356,0,2.89268138,2,892681380
2,12,48000,1000000,125,950865,0,0.18363741,0,18363741
2,12,48000,1000000,125,1159604,0,0.28236562,0,28236562
2,12,48000,1000000,125,1329953,0,0.32732375,0,32732375
2,12,48000,1000000,125,912107,0,0.59469348,0,59469348
2,12,48000,1000000,125,960874,0,0.59892019,0,59892019
2,12,48000,1000000,125,1250241,0,0.31912305,0,31912305
2,12,48000,1000000,125,919798,0,0.55265642,0,55265642
2,12,48000,1000000,125,1272397,0,0.29759376,0,29759376
2,12,48000,1000000,125,1330196,0,0.21535732,0,21535732
2,12,48000,1000000,125,872068,0,0.36370292,0,36370292
2,12,48000,10000000,125,16677509,0,0.19198014,0,191980142
2,12,48000,10000000,125,18252883,0,0.17877637,0,178776369
2,12,48000,10000000,125,17916336,0,0.17397076,0,173970763
2,12,48000,10000000,125,16381489,0,0.21292715,0,212927151
2,12,48000,10000000,125,17979080,0,0.18613357,0,186133565
2,12,48000,10000000,125,18554762,0,0.18036221,0,180362212
2,12,48000,10000000,125,19794444,0,0.19389201,0,193892013
2,12,48000,10000000,125,17589005,0,0.17256723,0,172567227
2,12,48000,10000000,125,18873121,0,0.18627878,0,186278777
2,12,48000,10000000,125,19970713,0,0.20161374,0,201613735
2,12,48000,100000000,125,187103403,0,1.73592115,1,735921153
2,12,48000,100000000,125,167332030,0,1.53357560,1,533575595
2,12,48000,100000000,125,191695859,0,1.77257712,1,772577117
2,12,48000,100000000,125,195410388,0,1.81525924,1,815259236
2,12,48000,100000000,125,166580078,0,1.50702833,1,507028326
2,12,48000,100000000,125,188884343,0,1.74914745,1,749147451
2,12,48000,100000000,125,193091974,0,1.79798424,1,797984243
2,12,48000,100000000,125,194031181,0,1.80765846,1,807658459
2,12,48000,100000000,125,188682562,0,1.75117928,1,751179279
2,12,48000,100000000,125,195094227,0,1.81904196,1,819041956
0,24,48000,1000000,125,3391959,0,0.32864105,0,32864105
0,24,48000,1000000,125,2660760,0,0.39563433,0,39563433
0,24,48000,1000000,125,2352106,0,0.42869979,0,42869979
0,24,48000,1000000,125,3037528,0,0.41009232,0,41009232
0,24,48000,1000000,125,2747796,0,0.38066187,0,38066187
0,24,48000,1000000,125,2745354,0,0.36964679,0,36964679
0,24,48000,1000000,125,25776668,0,0.25712743,0,257127432
0,24,48000,1000000,125,3404288,0,0.32115589,0,32115589
0,24,48000,1000000,125,6314804,0,0.61104173,0,61104173
0,24,48000,1000000,125,3382743,0,0.31725801,0,31725801
0,24,48000,10000000,125,34507541,0,0.32065791,0,320657905
0,24,48000,10000000,125,34535861,0,0.31510780,0,315107801
0,24,48000,10000000,125,33000648,0,0.30649726,0,306497262
0,24,48000,10000000,125,34064549,0,0.34870482,0,348704824
0,24,48000,10000000,125,33232398,0,0.31438917,0,314389168
0,24,48000,10000000,125,32609352,0,0.35015746,0,350157457
0,24,48000,10000000,125,37729701,0,0.36879392,0,368793920
0,24,48000,10000000,125,33175453,0,0.35467570,0,354675698
0,24,48000,10000000,125,35536469,0,0.31874372,0,318743720
0,24,48000,10000000,125,34357456,0,0.35938195,0,359381952
0,24,48000,100000000,125,339625351,0,3.10688818,3,106888181
0,24,48000,100000000,125,330104257,0,2.99831170,2,998311696
0,24,48000,100000000,125,338609484,0,3.40327196,3,40327196
0,24,48000,100000000,125,328289138,0,3.11582528,3,11582528
0,24,48000,100000000,125,330521737,0,3.15879709,3,15879709
0,24,48000,100000000,125,852274857,0,7.91729130,7,917291301
0,24,48000,100000000,125,330816963,0,3.21200415,3,21200415
0,24,48000,100000000,125,332480350,0,3.48770850,3,48770850
0,24,48000,100000000,125,347636317,0,3.10415296,3,104152958
0,24,48000,100000000,125,330431527,0,3.41000697,3,41000697
1,24,48000,1000000,125,4148732,0,0.74069712,0,74069712
1,24,48000,1000000,125,4691638,0,0.64635961,0,64635961
1,24,48000,1000000,125,6470137,0,0.66716954,0,66716954
1,24,48000,1000000,125,5640794,0,0.56139421,0,56139421
1,24,48000,1000000,125,5392137,0,0.52919765,0,52919765
1,24,48000,1000000,125,4614307,0,0.49201896,0,49201896
1,24,48000,1000000,125,4692310,0,0.49483962,0,49483962
1,24,48000,1000000,125,6662520,0,0.66574809,0,66574809
1,24,48000,1000000,125,7021527,0,0.68426890,0,68426890
1,24,48000,1000000,125,5547594,0,0.53020317,0,53020317
1,24,48000,10000000,125,51816212,0,0.50421984,0,504219843
1,24,48000,10000000,125,50188287,0,0.50435484,0,504354837
1,24,48000,10000000,125,49487239,0,0.49029573,0,490295731
1,24,48000,10000000,125,96683529,0,0.92106225,0,921062245
1,24,48000,10000000,125,56092203,0,0.55106917,0,551069170
1,24,48000,10000000,125,73506465,0,0.72486913,0,724869125
1,24,48000,10000000,125,69480230,0,0.72116156,0,721161556
1,24,48000,10000000,125,55393230,0,0.54865398,0,548653981
1,24,48000,10000000,125,67158642,0,0.68616759,0,686167590
1,24,48000,10000000,125,48575193,0,0.49815585,0,498155846
1,24,48000,100000000,125,576587391,0,5.44463905,5,444639048
1,24,48000,100000000,125,560389495,0,5.33076927,5,330769274
1,24,48000,100000000,125,515654686,0,4.85726911,4,857269109
1,24,48000,100000000,125,528092520,0,4.99116761,4,991167614
1,24,48000,100000000,125,560456878,0,5.21469301,5,214693010
1,24,48000,100000000,125,521423042,0,4.92096519,4,920965193
1,24,48000,100000000,125,557292885,0,5.26267533,5,262675329
1,24,48000,100000000,125,564422322,0,5.26922751,5,269227512
1,24,48000,100000000,125,558082739,0,5.24514898,5,245148981
1,24,48000,100000000,125,559190830,0,5.25335804,5,253358043
2,24,48000,1000000,125,2583978,0,0.38695099,0,38695099
2,24,48000,1000000,125,958372,0,0.26992346,0,26992346
2,24,48000,1000000,125,980833,0,0.40299238,0,40299238
2,24,48000,1000000,125,942259,0,0.35309326,0,35309326
2,24,48000,1000000,125,1188839,0,0.50015406,0,50015406
2,24,48000,1000000,125,1074400,0,0.37651085,0,37651085
2,24,48000,1000000,125,1107541,0,0.40106449,0,40106449
2,24,48000,1000000,125,1253903,0,0.36902230,0,36902230
2,24,48000,1000000,125,929624,0,0.34104510,0,34104510
2,24,48000,1000000,125,1035397,0,0.40372845,0,40372845
2,24,48000,10000000,125,22036625,0,0.20515137,0,205151367
2,24,48000,10000000,125,22305362,0,0.19251512,0,192515120
2,24,48000,10000000,125,23372743,0,0.19876220,0,198762197
2,24,48000,10000000,125,23432985,0,0.20602966,0,206029661
2,24,48000,10000000,125,19845591,0,0.16863308,0,168633080
2,24,48000,10000000,125,27672415,0,0.24196110,0,241961099
2,24,48000,10000000,125,25295956,0,0.22167322,0,221673217
2,24,48000,10000000,125,24086913,0,0.20420474,0,204204743
2,24,48000,10000000,125,25370113,0,0.21935738,0,219357376
2,24,48000,10000000,125,32204202,0,0.28396660,0,283966596
2,24,48000,100000000,125,235699531,0,1.94350920,1,943509199
2,24,48000,100000000,125,212470037,0,1.73159599,1,731595992
2,24,48000,100000000,125,243138050,0,2.56192270,2,5619227
2,24,48000,100000000,125,208072771,0,1.68787703,1,687877030
2,24,48000,100000000,125,255217608,0,2.12707134,2,127071338
2,24,48000,100000000,125,224619298,0,1.84521617,1,845216165
2,24,48000,100000000,125,238720153,0,1.96635206,1,966352063
2,24,48000,100000000,125,250162385,0,2.75417289,2,75417289
2,24,48000,100000000,125,250021211,0,2.63682531,2,63682531
2,24,48000,100000000,125,211652595,0,1.72680644,1,726806439
0,48,48000,1000000,125,2775567,0,0.35537176,0,35537176
0,48,48000,1000000,125,2057062,0,0.51035191,0,51035191
0,48,48000,1000000,125,1944880,0,0.55033161,0,55033161
0,48,48000,1000000,125,1937861,0,0.55076824,0,55076824
0,48,48000,1000000,125,1974544,0,0.60302213,0,60302213
0,48,48000,1000000,125,1978511,0,0.55359511,0,55359511
0,48,48000,1000000,125,2030147,0,0.60115435,0,60115435
0,48,48000,1000000,125,2058772,0,0.44807852,0,44807852
0,48,48000,1000000,125,1955622,0,0.62243756,0,62243756
0,48,48000,1000000,125,1921260,0,0.56106175,0,56106175
0,48,48000,10000000,125,30930462,0,0.31849741,0,318497412
0,48,48000,10000000,125,31085858,0,0.34574624,0,345746243
0,48,48000,10000000,125,31733928,0,0.32629771,0,326297707
0,48,48000,10000000,125,31292584,0,0.32784066,0,327840660
0,48,48000,10000000,125,31086041,0,0.34887016,0,348870163
0,48,48000,10000000,125,31147686,0,0.35604249,0,356042493
0,48,48000,10000000,125,31149090,0,0.34890900,0,348908999
0,48,48000,10000000,125,31203655,0,0.31922477,0,319224766
0,48,48000,10000000,125,30871625,0,0.34016064,0,340160643
0,48,48000,10000000,125,31067121,0,0.34535910,0,345359095
0,48,48000,100000000,125,333384400,0,3.48611670,3,48611670
0,48,48000,100000000,125,331767706,0,3.32578441,3,32578441
0,48,48000,100000000,125,332360600,0,3.25514901,3,25514901
0,48,48000,100000000,125,331165778,0,3.91142730,3,9114273
0,48,48000,100000000,125,332499515,0,3.35021983,3,35021983
0,48,48000,100000000,125,332384342,0,3.37718266,3,37718266
0,48,48000,100000000,125,331829106,0,3.30464908,3,30464908
0,48,48000,100000000,125,331146858,0,3.20549105,3,20549105
0,48,48000,100000000,125,330533151,0,3.37001550,3,3700155
0,48,48000,100000000,125,332921999,0,3.43551442,3,43551442
1,48,48000,1000000,125,3271842,0,0.11340758,0,113407578
1,48,48000,1000000,125,3592520,0,0.82101158,0,82101158
1,48,48000,1000000,125,3878957,0,0.74337023,0,74337023
1,48,48000,1000000,125,3499319,0,0.68150004,0,68150004
1,48,48000,1000000,125,3681692,0,0.65854458,0,65854458
1,48,48000,1000000,125,3592581,0,0.62244470,0,62244470
1,48,48000,1000000,125,3674551,0,0.64666494,0,64666494
1,48,48000,1000000,125,3981862,0,0.71453112,0,71453112
1,48,48000,1000000,125,3807974,0,0.59096745,0,59096745
1,48,48000,1000000,125,3754507,0,0.62582831,0,62582831
1,48,48000,10000000,125,48921689,0,0.46834861,0,468348608
1,48,48000,10000000,125,50574639,0,0.46134017,0,461340171
1,48,48000,10000000,125,46232975,0,0.54961190,0,549611903
1,48,48000,10000000,125,47378540,0,0.57966815,0,579668154
1,48,48000,10000000,125,47626526,0,0.56676921,0,566769207
1,48,48000,10000000,125,48255614,0,0.59438092,0,594380918
1,48,48000,10000000,125,45824284,0,0.54100432,0,541004318
1,48,48000,10000000,125,46738344,0,0.54771107,0,547711074
1,48,48000,10000000,125,47850952,0,0.59554715,0,595547149
1,48,48000,10000000,125,48007140,0,0.58657002,0,586570016
1,48,48000,100000000,125,525581174,0,4.80152934,4,801529341
1,48,48000,100000000,125,496025219,0,4.58532629,4,585326288
1,48,48000,100000000,125,505704394,0,4.65370563,4,653705627
1,48,48000,100000000,125,505017140,0,4.64262000,4,642620001
1,48,48000,100000000,125,511737582,0,4.72502428,4,725024282
1,48,48000,100000000,125,510408788,0,4.69194281,4,691942814
1,48,48000,100000000,125,509970191,0,4.62323962,4,623239620
1,48,48000,100000000,125,498014106,0,4.58248598,4,582485975
1,48,48000,100000000,125,496008312,0,4.59076683,4,590766833
1,48,48000,100000000,125,529127247,0,4.81309027,4,813090267
2,48,48000,1000000,125,10284581,0,0.16071855,0,160718553
2,48,48000,1000000,125,15161643,0,0.14488510,0,144885103
2,48,48000,1000000,125,13829799,0,0.12989902,0,129899023
2,48,48000,1000000,125,14206751,0,0.13525580,0,135255799
2,48,48000,1000000,125,14163965,0,0.13440174,0,134401744
2,48,48000,1000000,125,14416284,0,0.13534006,0,135340058
2,48,48000,1000000,125,11868500,0,0.11175290,0,111752901
2,48,48000,1000000,125,13052701,0,0.12305440,0,123054396
2,48,48000,1000000,125,11990448,0,0.11227373,0,112273733
2,48,48000,1000000,125,12399749,0,0.11562653,0,115626526
2,48,48000,10000000,125,58842501,0,0.52992944,0,529929436
2,48,48000,10000000,125,58925935,0,0.54014675,0,540146747
2,48,48000,10000000,125,47413636,0,0.42142262,0,421422616
2,48,48000,10000000,125,57452245,0,0.52003915,0,520039151
2,48,48000,10000000,125,47893798,0,0.43607135,0,436071345
2,48,48000,10000000,125,49053403,0,0.43620953,0,436209532
2,48,48000,10000000,125,60287138,0,0.54117769,0,541177686
2,48,48000,10000000,125,48633970,0,0.43587459,0,435874591
2,48,48000,10000000,125,53420822,0,0.48019899,0,480198992
2,48,48000,10000000,125,56309548,0,0.50780060,0,507800602
2,48,48000,100000000,125,364124495,0,3.15572180,3,155721795
2,48,48000,100000000,125,359414852,0,3.65882369,3,65882369
2,48,48000,100000000,125,354588204,0,3.27011952,3,27011952
2,48,48000,100000000,125,346467924,0,2.97015398,2,970153975
2,48,48000,100000000,125,360907890,0,3.80713487,3,80713487
2,48,48000,100000000,125,364988873,0,3.13026268,3,130262678
2,48,48000,100000000,125,369127778,0,3.18505569,3,185055686
2,48,48000,100000000,125,404164615,0,3.49808603,3,498086032
2,48,48000,100000000,125,387463119,0,3.37321742,3,373217422
2,48,48000,100000000,125,341872293,0,2.88824041,2,888240405
0,6,48000,1000000,112,2569390,0,0.55208376,0,55208376
0,6,48000,1000000,112,2900872,0,0.44149223,0,44149223
0,6,48000,1000000,112,2991753,0,0.42855951,0,42855951
0,6,48000,1000000,112,2906243,0,0.43239050,0,43239050
0,6,48000,1000000,112,2960930,0,0.45683848,0,45683848
0,6,48000,1000000,112,2922356,0,0.43107918,0,43107918
0,6,48000,1000000,112,2996086,0,0.45641243,0,45641243
0,6,48000,1000000,112,3086174,0,0.43770894,0,43770894
0,6,48000,1000000,112,2940178,0,0.43565775,0,43565775
0,6,48000,1000000,112,2933587,0,0.44689755,0,44689755
0,6,48000,10000000,112,30781415,0,0.41530549,0,415305492
0,6,48000,10000000,112,30849835,0,0.41735089,0,417350888
0,6,48000,10000000,112,30444319,0,0.41408229,0,414082285
0,6,48000,10000000,112,30652509,0,0.41477206,0,414772062
0,6,48000,10000000,112,30522871,0,0.41532071,0,415320707
0,6,48000,10000000,112,30947919,0,0.41947428,0,419474280
0,6,48000,10000000,112,30424665,0,0.41232215,0,412322147
0,6,48000,10000000,112,30374067,0,0.41842658,0,418426577
0,6,48000,10000000,112,31735942,0,0.41557459,0,415574586
0,6,48000,10000000,112,30836713,0,0.41962958,0,419629584
0,6,48000,100000000,112,311870296,0,4.16668353,4,166683531
0,6,48000,100000000,112,306371347,0,4.14655555,4,146555547
0,6,48000,100000000,112,304421950,0,4.11547647,4,115476474
0,6,48000,100000000,112,308334049,0,4.18005639,4,180056385
0,6,48000,100000000,112,301304588,0,4.72483011,4,72483011
0,6,48000,100000000,112,311698543,0,4.19972618,4,199726184
0,6,48000,100000000,112,311319455,0,4.15131168,4,151311676
0,6,48000,100000000,112,307418891,0,4.11127942,4,111279420
0,6,48000,100000000,112,304309951,0,4.13947703,4,139477028
0,6,48000,100000000,112,308970523,0,4.19040913,4,190409130
1,6,48000,1000000,112,1224789,0,0.20321215,0,20321215
1,6,48000,1000000,112,1299069,0,0.20204927,0,20204927
1,6,48000,1000000,112,1415524,0,0.21739229,0,21739229
1,6,48000,1000000,112,1405880,0,0.19406892,0,19406892
1,6,48000,1000000,112,1366146,0,0.20008729,0,20008729
1,6,48000,1000000,112,1434567,0,0.19103859,0,19103859
1,6,48000,1000000,112,1407711,0,0.18385563,0,18385563
1,6,48000,1000000,112,1433651,0,0.18578967,0,18578967
1,6,48000,1000000,112,1375179,0,0.18525807,0,18525807
1,6,48000,1000000,112,1430233,0,0.19583145,0,19583145
1,6,48000,10000000,112,14533471,0,0.18536967,0,185369667
1,6,48000,10000000,112,14190089,0,0.18772293,0,187722934
1,6,48000,10000000,112,14176843,0,0.18554830,0,185548298
1,6,48000,10000000,112,14376977,0,0.18908188,0,189081880
