model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko,working_time, working_time1, working_time2
0,6,48000,2000,125,30284163,0,0.290035169,0,290035169
0,6,48000,2000,125,30522749,0,0.279855883,0,279855883
0,6,48000,2000,125,30814191,0,0.273268313,0,273268313
0,6,48000,2000,125,31119610,0,0.277427679,0,277427679
0,6,48000,2000,125,30871625,0,0.277558974,0,277558974
0,6,48000,2000,125,31000653,0,0.275336374,0,275336374
0,6,48000,2000,125,31120221,0,0.276595701,0,276595701
0,6,48000,2000,125,30967267,0,0.288875907,0,288875907
0,6,48000,2000,125,31313763,0,0.286509675,0,286509675
0,6,48000,2000,125,31151837,0,0.281619131,0,281619131
0,6,48000,3000,125,165566592,0,1.743661891,1,743661891
0,6,48000,3000,125,164080757,0,1.719026721,1,719026721
0,6,48000,3000,125,167070068,0,1.728093475,1,728093475
0,6,48000,3000,125,165376285,0,1.730498321,1,730498321
0,6,48000,3000,125,164806585,0,1.717140023,1,717140023
0,6,48000,3000,125,165668399,0,1.730644280,1,730644280
0,6,48000,3000,125,167147582,0,1.753098193,1,753098193
0,6,48000,3000,125,166285219,0,1.733508424,1,733508424
0,6,48000,3000,125,166622925,0,1.740125507,1,740125507
0,6,48000,3000,125,165559025,0,1.715711959,1,715711959
0,6,48000,4000,125,522293463,0,5.772316123,5,772316123
0,6,48000,4000,125,522977359,0,5.772496832,5,772496832
0,6,48000,4000,125,524561584,0,5.779141668,5,779141668
0,6,48000,4000,125,537202909,0,5.802523488,5,802523488
0,6,48000,4000,125,526631953,0,5.778647923,5,778647923
0,6,48000,4000,125,528292227,0,5.786494435,5,786494435
0,6,48000,4000,125,532111064,0,5.782590790,5,782590790
0,6,48000,4000,125,530300218,0,5.769591973,5,769591973
0,6,48000,4000,125,529223255,0,5.776198749,5,776198749
0,6,48000,4000,125,529155017,0,5.772442465,5,772442465
1,6,48000,2000,125,32728065,0,0.287378842,0,287378842
1,6,48000,2000,125,33374792,0,0.305015183,0,305015183
1,6,48000,2000,125,32011026,0,0.287325286,0,287325286
1,6,48000,2000,125,32638466,0,0.291326380,0,291326380
1,6,48000,2000,125,32810097,0,0.295586472,0,295586472
1,6,48000,2000,125,32460427,0,0.294369557,0,294369557
1,6,48000,2000,125,32228495,0,0.289982568,0,289982568
1,6,48000,2000,125,32557046,0,0.297322747,0,297322747
1,6,48000,2000,125,32381509,0,0.286779873,0,286779873
1,6,48000,2000,125,32525491,0,0.288513715,0,288513715
1,6,48000,3000,125,180945948,0,1.828933725,1,828933725
1,6,48000,3000,125,180645961,0,1.827596767,1,827596767
1,6,48000,3000,125,178564484,0,1.801362509,1,801362509
1,6,48000,3000,125,181836510,0,1.828969230,1,828969230
1,6,48000,3000,125,179856412,0,1.823025219,1,823025219
1,6,48000,3000,125,182703939,0,1.830140721,1,830140721
