model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko, working_time
0, 10, 80000, 1000, 85, 188500189, 0, 2.879793901
0, 10, 80000, 1000, 85, 126863079, 0, 1.501617833
0, 10, 80000, 1000, 85, 127421732, 0, 1.500928399
0, 10, 80000, 1000, 85, 127563822, 0, 1.501894239
0, 10, 80000, 1000, 85, 126860333, 0, 1.503309253
0, 10, 80000, 1000, 85, 127060283, 0, 1.501097927
0, 10, 80000, 1000, 85, 127374430, 0, 1.499248053
0, 10, 80000, 1000, 85, 127183513, 0, 1.500246031
0, 10, 80000, 1000, 85, 127293131, 0, 1.499737780
0, 10, 80000, 1000, 85, 126817363, 0, 1.500621006
0, 10, 80000, 2000, 85, 471315139, 0, 5.354143451
0, 10, 80000, 2000, 85, 470784989, 0, 5.359376951
0, 10, 80000, 2000, 85, 471288650, 0, 5.360492527
0, 10, 80000, 2000, 85, 471799329, 0, 5.357252704
0, 10, 80000, 2000, 85, 471988782, 0, 5.360515334
0, 10, 80000, 2000, 85, 471132583, 0, 5.359501839
0, 10, 80000, 2000, 85, 472864390, 0, 5.356749868
0, 10, 80000, 2000, 85, 470965958, 0, 5.362235664
0, 10, 80000, 2000, 85, 470467363, 0, 5.355374242
0, 10, 80000, 2000, 85, 470579666, 0, 5.360023301
0, 10, 80000, 3000, 85, 1028483024, 0, 11.531520074
0, 10, 80000, 3000, 85, 1030345628, 0, 11.531427648
0, 10, 80000, 3000, 85, 1028910818, 0, 11.529081727
0, 10, 80000, 3000, 85, 1028543449, 0, 11.531507546
0, 10, 80000, 3000, 85, 1026112424, 0, 11.536086712
0, 10, 80000, 3000, 85, 1032025191, 0, 11.555217947
0, 10, 80000, 3000, 85, 1032171186, 0, 11.541221523
0, 10, 80000, 3000, 85, 1026800595, 0, 11.532240777
0, 10, 80000, 3000, 85, 1027521601, 0, 11.519920519
0, 10, 80000, 3000, 85, 1026485043, 0, 11.528863547
1, 10, 80000, 1000, 85, 135817584, 0, 1.632985118
1, 10, 80000, 1000, 85, 136134233, 0, 1.637859764
1, 10, 80000, 1000, 85, 135743000, 0, 1.638154284
1, 10, 80000, 1000, 85, 135386800, 0, 1.631599026
1, 10, 80000, 1000, 85, 136200457, 0, 1.641213663
1, 10, 80000, 1000, 85, 135612507, 0, 1.631186813
1, 10, 80000, 1000, 85, 135875689, 0, 1.637882478
1, 10, 80000, 1000, 85, 135836687, 0, 1.635996381
1, 10, 80000, 1000, 85, 135957049, 0, 1.632968278
1, 10, 80000, 1000, 85, 135850604, 0, 1.635930650
1, 10, 80000, 2000, 85, 470699113, 0, 5.355918285
1, 10, 80000, 2000, 85, 471641981, 0, 5.352179093
1, 10, 80000, 2000, 85, 472216748, 0, 5.366281741
1, 10, 80000, 2000, 85, 472787547, 0, 5.358288874
1, 10, 80000, 2000, 85, 471820569, 0, 5.355911180
1, 10, 80000, 2000, 85, 472800487, 0, 5.357637291
1, 10, 80000, 2000, 85, 470734513, 0, 5.342591148
1, 10, 80000, 2000, 85, 471216324, 0, 5.350989192
1, 10, 80000, 2000, 85, 471437086, 0, 5.362793000
1, 10, 80000, 2000, 85, 471572340, 0, 5.357843831
1, 10, 80000, 3000, 85, 1031865339, 0, 11.558188173
1, 10, 80000, 3000, 85, 1031516829, 0, 11.563046390
1, 10, 80000, 3000, 85, 1029200307, 0, 11.543237666
1, 10, 80000, 3000, 85, 1035452977, 0, 11.630124773
1, 10, 80000, 3000, 85, 1032820048, 0, 11.545161173
1, 10, 80000, 3000, 85, 1037340912, 0, 11.559620558
1, 10, 80000, 3000, 85, 1032145918, 0, 11.569506804
1, 10, 80000, 3000, 85, 1030164783, 0, 11.549587957
1, 10, 80000, 3000, 85, 1035438939, 0, 11.601867299
1, 10, 80000, 3000, 85, 1036922760, 0, 11.613981166
2, 10, 80000, 1000, 85, 133392542, 0, 1.500258257
2, 10, 80000, 1000, 85, 132243374, 0, 1.496796157
2, 10, 80000, 1000, 85, 131862334, 0, 1.488040037
2, 10, 80000, 1000, 85, 132090299, 0, 1.487811963
2, 10, 80000, 1000, 85, 132448697, 0, 1.493815271
2, 10, 80000, 1000, 85, 132533169, 0, 1.496937271
2, 10, 80000, 1000, 85, 132220304, 0, 1.492296589
2, 10, 80000, 1000, 85, 131909819, 0, 1.488736985
2, 10, 80000, 1000, 85, 132351773, 0, 1.487713463
2, 10, 80000, 1000, 85, 132611050, 0, 1.493199195
2, 10, 80000, 2000, 85, 478801691, 0, 5.345353223
2, 10, 80000, 2000, 85, 478628841, 0, 5.350773633
2, 10, 80000, 2000, 85, 479090203, 0, 5.347074815
2, 10, 80000, 2000, 85, 478861812, 0, 5.354078124
2, 10, 80000, 2000, 85, 478669856, 0, 5.344237656
2, 10, 80000, 2000, 85, 479869498, 0, 5.346947089
2, 10, 80000, 2000, 85, 478436458, 0, 5.349159782
2, 10, 80000, 2000, 85, 478599666, 0, 5.351280576
2, 10, 80000, 2000, 85, 479731255, 0, 5.342319657
2, 10, 80000, 2000, 85, 478731868, 0, 5.353302486
2, 10, 80000, 3000, 85, 1033128947, 0, 11.523445705
2, 10, 80000, 3000, 85, 1034345252, 0, 11.531378750
2, 10, 80000, 3000, 85, 1034887244, 0, 11.523866202
2, 10, 80000, 3000, 85, 1034293189, 0, 11.513877016
2, 10, 80000, 3000, 85, 1035966281, 0, 11.523918845
2, 10, 80000, 3000, 85, 1033203593, 0, 11.534527578
2, 10, 80000, 3000, 85, 1033643289, 0, 11.521406499
2, 10, 80000, 3000, 85, 1037359343, 0, 11.525475448
2, 10, 80000, 3000, 85, 1033269694, 0, 11.530124703
2, 10, 80000, 3000, 85, 1035204442, 0, 11.516628144
0, 20, 80000, 1000, 85, 88185687, 0, 0.883808655
0, 20, 80000, 1000, 85, 88344867, 0, 0.891824973
0, 20, 80000, 1000, 85, 89323502, 0, 0.905243329
0, 20, 80000, 1000, 85, 88746660, 0, 0.896488347
0, 20, 80000, 1000, 85, 87804279, 0, 0.886598387
0, 20, 80000, 1000, 85, 88209979, 0, 0.887980589
0, 20, 80000, 1000, 85, 88226458, 0, 0.892075386
0, 20, 80000, 1000, 85, 88446977, 0, 0.890269897
0, 20, 80000, 1000, 85, 88455401, 0, 0.892359621
0, 20, 80000, 1000, 85, 88268146, 0, 0.892914938
0, 20, 80000, 2000, 85, 313022942, 0, 2.900627224
0, 20, 80000, 2000, 85, 312914726, 0, 2.890213899
0, 20, 80000, 2000, 85, 313605642, 0, 2.900987193
0, 20, 80000, 2000, 85, 311876399, 0, 2.897221358
0, 20, 80000, 2000, 85, 313273062, 0, 2.901541699
0, 20, 80000, 2000, 85, 312805107, 0, 2.899260558
0, 20, 80000, 2000, 85, 313010185, 0, 2.913799351
0, 20, 80000, 2000, 85, 312737297, 0, 2.897791116
0, 20, 80000, 2000, 85, 312145624, 0, 2.898844280
0, 20, 80000, 2000, 85, 312256708, 0, 2.894778015
0, 20, 80000, 3000, 85, 662785656, 0, 5.862272029
0, 20, 80000, 3000, 85, 664365060, 0, 5.862872339
0, 20, 80000, 3000, 85, 663168773, 0, 5.863137991
0, 20, 80000, 3000, 85, 662904491, 0, 5.849055295
0, 20, 80000, 3000, 85, 663408641, 0, 5.858233935
0, 20, 80000, 3000, 85, 663463755, 0, 5.861123700
0, 20, 80000, 3000, 85, 663491648, 0, 5.862338599
0, 20, 80000, 3000, 85, 663815989, 0, 5.864628306
0, 20, 80000, 3000, 85, 663736643, 0, 5.862109994
0, 20, 80000, 3000, 85, 664303353, 0, 5.858612240
1, 20, 80000, 1000, 85, 88743975, 0, 0.897669270
1, 20, 80000, 1000, 85, 88481524, 0, 0.894429543
1, 20, 80000, 1000, 85, 88878617, 0, 0.894189423
1, 20, 80000, 1000, 85, 88728471, 0, 0.896613752
1, 20, 80000, 1000, 85, 88361835, 0, 0.889051874
1, 20, 80000, 1000, 85, 88828203, 0, 0.893232019
1, 20, 80000, 1000, 85, 88446977, 0, 0.893907342
1, 20, 80000, 1000, 85, 88956803, 0, 0.898400722
1, 20, 80000, 1000, 85, 89912367, 0, 0.914885091
1, 20, 80000, 1000, 85, 89037431, 0, 0.894298938
1, 20, 80000, 2000, 85, 307554938, 0, 2.808311499
1, 20, 80000, 2000, 85, 307570074, 0, 2.807867330
1, 20, 80000, 2000, 85, 306680123, 0, 2.809575754
1, 20, 80000, 2000, 85, 307836918, 0, 2.809509991
1, 20, 80000, 2000, 85, 307338507, 0, 2.807725412
1, 20, 80000, 2000, 85, 307309638, 0, 2.810211940
1, 20, 80000, 2000, 85, 307166573, 0, 2.809363723
1, 20, 80000, 2000, 85, 306878670, 0, 2.811307844
1, 20, 80000, 2000, 85, 307251289, 0, 2.809415567
1, 20, 80000, 2000, 85, 307157722, 0, 2.807012626
1, 20, 80000, 3000, 85, 674373700, 0, 6.050013810
1, 20, 80000, 3000, 85, 674588300, 0, 6.044635474
1, 20, 80000, 3000, 85, 674473798, 0, 6.043680799
1, 20, 80000, 3000, 85, 674750348, 0, 6.042278398
1, 20, 80000, 3000, 85, 674251265, 0, 6.041440770
1, 20, 80000, 3000, 85, 675064556, 0, 6.045556543
1, 20, 80000, 3000, 85, 674673749, 0, 6.041767799
1, 20, 80000, 3000, 85, 675304301, 0, 6.040847605
1, 20, 80000, 3000, 85, 675612650, 0, 6.046732931
1, 20, 80000, 3000, 85, 674931255, 0, 6.047621859
2, 20, 80000, 1000, 85, 99289235, 0, 0.888537192
2, 20, 80000, 1000, 85, 98473320, 0, 0.872008822
2, 20, 80000, 1000, 85, 98146417, 0, 0.872325412
2, 20, 80000, 1000, 85, 98415276, 0, 0.873642183
2, 20, 80000, 1000, 85, 98658927, 0, 0.872544122
2, 20, 80000, 1000, 85, 99153982, 0, 0.872096316
2, 20, 80000, 1000, 85, 98458001, 0, 0.872482120
2, 20, 80000, 1000, 85, 98512992, 0, 0.873521491
2, 20, 80000, 1000, 85, 98453239, 0, 0.874742126
2, 20, 80000, 1000, 85, 98147576, 0, 0.871775501
2, 20, 80000, 2000, 85, 328988233, 0, 2.873570916
2, 20, 80000, 2000, 85, 329446362, 0, 2.882121884
2, 20, 80000, 2000, 85, 329366589, 0, 2.874435476
2, 20, 80000, 2000, 85, 329746958, 0, 2.881335546
2, 20, 80000, 2000, 85, 329350658, 0, 2.876219824
2, 20, 80000, 2000, 85, 329911936, 0, 2.892463324
2, 20, 80000, 2000, 85, 328642286, 0, 2.879070772
2, 20, 80000, 2000, 85, 327864211, 0, 2.874956562
2, 20, 80000, 2000, 85, 329364696, 0, 2.878226840
2, 20, 80000, 2000, 85, 329730173, 0, 2.875791825
2, 20, 80000, 3000, 85, 672932481, 0, 5.843277687
2, 20, 80000, 3000, 85, 673644820, 0, 5.849583249
2, 20, 80000, 3000, 85, 672327197, 0, 5.839552204
2, 20, 80000, 3000, 85, 673929549, 0, 5.844383095
2, 20, 80000, 3000, 85, 672261158, 0, 5.843837534
2, 20, 80000, 3000, 85, 674074569, 0, 5.849444024
2, 20, 80000, 3000, 85, 671680531, 0, 5.843507777
2, 20, 80000, 3000, 85, 673111192, 0, 5.847892801
2, 20, 80000, 3000, 85, 672287341, 0, 5.838084191
2, 20, 80000, 3000, 85, 673407822, 0, 5.843766022
0, 40, 80000, 1000, 85, 80744117, 0, 0.782266779
0, 40, 80000, 1000, 85, 80922278, 0, 0.793798064
0, 40, 80000, 1000, 85, 82129062, 0, 0.810726456
0, 40, 80000, 1000, 85, 81705541, 0, 0.808025853
0, 40, 80000, 1000, 85, 82106663, 0, 0.812592942
0, 40, 80000, 1000, 85, 81649694, 0, 0.806937377
0, 40, 80000, 1000, 85, 79717142, 0, 0.775902924
0, 40, 80000, 1000, 85, 82531526, 0, 0.826275161
0, 40, 80000, 1000, 85, 82923860, 0, 0.818870715
0, 40, 80000, 1000, 85, 81791477, 0, 0.807386697
0, 40, 80000, 2000, 85, 197264327, 0, 1.640004034
0, 40, 80000, 2000, 85, 197891889, 0, 1.648445824
0, 40, 80000, 2000, 85, 196924116, 0, 1.636629447
0, 40, 80000, 2000, 85, 197440535, 0, 1.644169121
0, 40, 80000, 2000, 85, 197768782, 0, 1.645265118
0, 40, 80000, 2000, 85, 197561201, 0, 1.635364264
0, 40, 80000, 2000, 85, 199060709, 0, 1.651001710
0, 40, 80000, 2000, 85, 197366316, 0, 1.637170069
0, 40, 80000, 2000, 85, 198177167, 0, 1.640239553
0, 40, 80000, 2000, 85, 197194930, 0, 1.625253733
0, 40, 80000, 3000, 85, 412177350, 0, 3.310541005
0, 40, 80000, 3000, 85, 413399272, 0, 3.330354097
0, 40, 80000, 3000, 85, 414297707, 0, 3.345522872
0, 40, 80000, 3000, 85, 415835118, 0, 3.362214506
0, 40, 80000, 3000, 85, 412739116, 0, 3.317179850
0, 40, 80000, 3000, 85, 416527133, 0, 3.346608720
0, 40, 80000, 3000, 85, 412625531, 0, 3.313127024
0, 40, 80000, 3000, 85, 411941511, 0, 3.311258929
0, 40, 80000, 3000, 85, 416374788, 0, 3.364199795
0, 40, 80000, 3000, 85, 413075115, 0, 3.320107173
1, 40, 80000, 1000, 85, 80796668, 0, 0.804674741
1, 40, 80000, 1000, 85, 81133337, 0, 0.808392571
1, 40, 80000, 1000, 85, 82791719, 0, 0.826817887
1, 40, 80000, 1000, 85, 80103371, 0, 0.787030464
1, 40, 80000, 1000, 85, 81356970, 0, 0.806367992
1, 40, 80000, 1000, 85, 80303018, 0, 0.791379012
1, 40, 80000, 1000, 85, 81439671, 0, 0.826910036
1, 40, 80000, 1000, 85, 81088415, 0, 0.804737718
1, 40, 80000, 1000, 85, 80655312, 0, 0.794399155
1, 40, 80000, 1000, 85, 80832496, 0, 0.798381866
1, 40, 80000, 2000, 85, 197865461, 0, 1.643475206
1, 40, 80000, 2000, 85, 197165144, 0, 1.633360273
