model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko, working_time
0, 10, 80000, 1000000, 85, 59947050, 0, 1.343859725
0, 10, 80000, 1000000, 85, 13478420, 0, 0.261314499
0, 10, 80000, 1000000, 85, 10408298, 0, 0.126702817
0, 10, 80000, 1000000, 85, 10272190, 0, 0.124543536
0, 10, 80000, 1000000, 85, 10401463, 0, 0.127297954
0, 10, 80000, 1000000, 85, 10594089, 0, 0.132079205
0, 10, 80000, 1000000, 85, 10425572, 0, 0.126143379
0, 10, 80000, 1000000, 85, 10368321, 0, 0.127970098
0, 10, 80000, 1000000, 85, 10679965, 0, 0.130728106
0, 10, 80000, 1000000, 85, 10639437, 0, 0.129274588
0, 10, 80000, 10000000, 85, 105263891, 0, 1.236844940
0, 10, 80000, 10000000, 85, 105651585, 0, 1.243109124
0, 10, 80000, 10000000, 85, 104876136, 0, 1.234034503
0, 10, 80000, 10000000, 85, 105317296, 0, 1.241953950
0, 10, 80000, 10000000, 85, 104652197, 0, 1.228600480
0, 10, 80000, 10000000, 85, 103851602, 0, 1.230504496
0, 10, 80000, 10000000, 85, 106049777, 0, 1.250314402
0, 10, 80000, 10000000, 85, 105797458, 0, 1.247975811
0, 10, 80000, 10000000, 85, 105131933, 0, 1.241402054
0, 10, 80000, 10000000, 85, 104417946, 0, 1.230150009
0, 10, 80000, 100000000, 85, 1165842964, 0, 13.464712194
0, 10, 80000, 100000000, 85, 1180311981, 0, 13.599717512
0, 10, 80000, 100000000, 85, 1165087777, 0, 13.439683862
0, 10, 80000, 100000000, 85, 1173802903, 0, 13.534999376
0, 10, 80000, 100000000, 85, 1180721831, 0, 13.614681581
0, 10, 80000, 100000000, 85, 1183387779, 0, 13.623960823
0, 10, 80000, 100000000, 85, 1164606515, 0, 13.437996749
0, 10, 80000, 100000000, 85, 1148317007, 0, 13.257497217
0, 10, 80000, 100000000, 85, 1157520902, 0, 13.356163559
0, 10, 80000, 100000000, 85, 1181395230, 0, 13.624402306
1, 10, 80000, 1000000, 85, 7639263, 0, 0.098231450
1, 10, 80000, 1000000, 85, 7858866, 0, 0.097064765
1, 10, 80000, 1000000, 85, 7954508, 0, 0.099424827
1, 10, 80000, 1000000, 85, 7575238, 0, 0.096002674
1, 10, 80000, 1000000, 85, 7751567, 0, 0.094703490
1, 10, 80000, 1000000, 85, 7626690, 0, 0.095558224
1, 10, 80000, 1000000, 85, 7255657, 0, 0.091215491
1, 10, 80000, 1000000, 85, 8030680, 0, 0.101392673
1, 10, 80000, 1000000, 85, 7479168, 0, 0.093172991
1, 10, 80000, 1000000, 85, 7313458, 0, 0.091664330
1, 10, 80000, 10000000, 85, 72029601, 0, 0.842088758
1, 10, 80000, 10000000, 85, 74897818, 0, 0.876348961
1, 10, 80000, 10000000, 85, 72825437, 0, 0.852460079
1, 10, 80000, 10000000, 85, 73544733, 0, 0.864618716
1, 10, 80000, 10000000, 85, 75469472, 0, 0.883102527
1, 10, 80000, 10000000, 85, 76805896, 0, 0.893711282
1, 10, 80000, 10000000, 85, 76581286, 0, 0.891300177
1, 10, 80000, 10000000, 85, 75154286, 0, 0.875505927
1, 10, 80000, 10000000, 85, 74629204, 0, 0.871671702
1, 10, 80000, 10000000, 85, 76133839, 0, 0.890021595
1, 10, 80000, 100000000, 85, 688145027, 0, 7.874818268
1, 10, 80000, 100000000, 85, 760329169, 0, 8.678353715
1, 10, 80000, 100000000, 85, 687764048, 0, 7.871209662
1, 10, 80000, 100000000, 85, 717776116, 0, 8.209228407
1, 10, 80000, 100000000, 85, 697852523, 0, 8.000877985
1, 10, 80000, 100000000, 85, 699114299, 0, 8.011798674
1, 10, 80000, 100000000, 85, 699686501, 0, 7.998176728
