model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko, working_time
0, 10, 80000, 2000, 85, 92174630, 0, 1.040871890
0, 10, 80000, 2000, 85, 83372529, 0, 0.789079522
0, 10, 80000, 2000, 85, 83031342, 0, 0.789482304
0, 10, 80000, 2000, 85, 83371734, 0, 0.793034229
0, 10, 80000, 2000, 85, 83312653, 0, 0.793513098
0, 10, 80000, 2000, 85, 83030672, 0, 0.791881437
0, 10, 80000, 2000, 85, 83036896, 0, 0.790735651
0, 10, 80000, 2000, 85, 83459564, 0, 0.800061793
0, 10, 80000, 2000, 85, 83332367, 0, 0.795228499
0, 10, 80000, 2000, 85, 83023713, 0, 0.790009109
0, 10, 80000, 3000, 85, 293677959, 0, 2.663543719
0, 10, 80000, 3000, 85, 293698040, 0, 2.664731818
0, 10, 80000, 3000, 85, 293988139, 0, 2.664910922
0, 10, 80000, 3000, 85, 293160749, 0, 2.657675884
0, 10, 80000, 3000, 85, 293892863, 0, 2.663740243
0, 10, 80000, 3000, 85, 293560344, 0, 2.658805848
0, 10, 80000, 3000, 85, 294052591, 0, 2.655486091
0, 10, 80000, 3000, 85, 293713726, 0, 2.665063219
0, 10, 80000, 3000, 85, 293773906, 0, 2.660862720
0, 10, 80000, 3000, 85, 293881510, 0, 2.667930193
0, 10, 80000, 4000, 85, 699324808, 0, 6.116083254
0, 10, 80000, 4000, 85, 699383218, 0, 6.118445853
0, 10, 80000, 4000, 85, 699747903, 0, 6.124776866
0, 10, 80000, 4000, 85, 699626322, 0, 6.122165896
0, 10, 80000, 4000, 85, 698701459, 0, 6.111523969
0, 10, 80000, 4000, 85, 701429601, 0, 6.127359196
0, 10, 80000, 4000, 85, 699850991, 0, 6.123151826
0, 10, 80000, 4000, 85, 700989294, 0, 6.128619857
0, 10, 80000, 4000, 85, 699707621, 0, 6.118894862
0, 10, 80000, 4000, 85, 700425574, 0, 6.119778879
1, 10, 80000, 2000, 85, 85607569, 0, 0.831507202
1, 10, 80000, 2000, 85, 85554407, 0, 0.827903679
1, 10, 80000, 2000, 85, 85238123, 0, 0.828283110
1, 10, 80000, 2000, 85, 85840357, 0, 0.826208504
1, 10, 80000, 2000, 85, 86376427, 0, 0.835845251
1, 10, 80000, 2000, 85, 84551481, 0, 0.815938847
1, 10, 80000, 2000, 85, 85400294, 0, 0.825637500
1, 10, 80000, 2000, 85, 85200283, 0, 0.822951271
1, 10, 80000, 2000, 85, 86014978, 0, 0.831983056
1, 10, 80000, 2000, 85, 85095852, 0, 0.824348645
1, 10, 80000, 3000, 85, 299129849, 0, 2.729321812
1, 10, 80000, 3000, 85, 302051289, 0, 2.753375616
1, 10, 80000, 3000, 85, 299357449, 0, 2.727226223
1, 10, 80000, 3000, 85, 301351524, 0, 2.747539669
1, 10, 80000, 3000, 85, 300077784, 0, 2.736526724
1, 10, 80000, 3000, 85, 301355002, 0, 2.751694797
1, 10, 80000, 3000, 85, 301123436, 0, 2.756194009
1, 10, 80000, 3000, 85, 300502771, 0, 2.744107542
1, 10, 80000, 3000, 85, 299694057, 0, 2.736227005
1, 10, 80000, 3000, 85, 300473108, 0, 2.737483473
1, 10, 80000, 4000, 85, 711126658, 0, 6.279853227
1, 10, 80000, 4000, 85, 700752723, 0, 6.154140032
1, 10, 80000, 4000, 85, 708693192, 0, 6.225912370
1, 10, 80000, 4000, 85, 706405357, 0, 6.233132752
1, 10, 80000, 4000, 85, 703837798, 0, 6.176243915
1, 10, 80000, 4000, 85, 702373568, 0, 6.178599704
1, 10, 80000, 4000, 85, 706957967, 0, 6.228866482
1, 10, 80000, 4000, 85, 704602994, 0, 6.183287377
1, 10, 80000, 4000, 85, 706142480, 0, 6.201343180
1, 10, 80000, 4000, 85, 711275523, 0, 6.243519812
2, 10, 80000, 2000, 85, 82867891, 0, 0.800785032
2, 10, 80000, 2000, 85, 82783418, 0, 0.800931145
2, 10, 80000, 2000, 85, 82916720, 0, 0.803318679
2, 10, 80000, 2000, 85, 83074739, 0, 0.801223257
2, 10, 80000, 2000, 85, 84232146, 0, 0.815368794
2, 10, 80000, 2000, 85, 83852202, 0, 0.814434632
2, 10, 80000, 2000, 85, 83311310, 0, 0.808790988
2, 10, 80000, 2000, 85, 82247714, 0, 0.797184316
2, 10, 80000, 2000, 85, 83725432, 0, 0.816632571
2, 10, 80000, 2000, 85, 83777313, 0, 0.812437307
2, 10, 80000, 3000, 85, 293838969, 0, 2.677866249
2, 10, 80000, 3000, 85, 293848246, 0, 2.673270701
2, 10, 80000, 3000, 85, 295557959, 0, 2.693219808
2, 10, 80000, 3000, 85, 294574624, 0, 2.689816566
2, 10, 80000, 3000, 85, 295225868, 0, 2.690463119
2, 10, 80000, 3000, 85, 292205672, 0, 2.668619674
2, 10, 80000, 3000, 85, 292582198, 0, 2.665421527
2, 10, 80000, 3000, 85, 294228373, 0, 2.687242992
2, 10, 80000, 3000, 85, 294422953, 0, 2.689221891
2, 10, 80000, 3000, 85, 294404276, 0, 2.685612234
2, 10, 80000, 4000, 85, 689046636, 0, 6.033526391
2, 10, 80000, 4000, 85, 698928081, 0, 6.181946611
2, 10, 80000, 4000, 85, 696923692, 0, 6.139111310
2, 10, 80000, 4000, 85, 686291823, 0, 6.035084005
2, 10, 80000, 4000, 85, 699712564, 0, 6.185827244
2, 10, 80000, 4000, 85, 700960791, 0, 6.184924906
2, 10, 80000, 4000, 85, 697080002, 0, 6.153016528
2, 10, 80000, 4000, 85, 694616935, 0, 6.118908581
2, 10, 80000, 4000, 85, 700290322, 0, 6.195791791
2, 10, 80000, 4000, 85, 693141964, 0, 6.099836982
0, 20, 80000, 2000, 85, 75770680, 0, 0.600276091
0, 20, 80000, 2000, 85, 75966176, 0, 0.599171394
0, 20, 80000, 2000, 85, 75767994, 0, 0.598557322
0, 20, 80000, 2000, 85, 76168811, 0, 0.603687546
0, 20, 80000, 2000, 85, 75800892, 0, 0.598375136
0, 20, 80000, 2000, 85, 75575795, 0, 0.597779563
0, 20, 80000, 2000, 85, 75687245, 0, 0.597716601
0, 20, 80000, 2000, 85, 75842763, 0, 0.597831676
0, 20, 80000, 2000, 85, 75827076, 0, 0.600550793
0, 20, 80000, 2000, 85, 75796132, 0, 0.597565838
0, 20, 80000, 3000, 85, 279225360, 0, 2.089694262
0, 20, 80000, 3000, 85, 278136617, 0, 2.084104286
0, 20, 80000, 3000, 85, 277644980, 0, 2.081098513
0, 20, 80000, 3000, 85, 278323689, 0, 2.087668381
0, 20, 80000, 3000, 85, 277658896, 0, 2.081962548
0, 20, 80000, 3000, 85, 278529378, 0, 2.089080381
0, 20, 80000, 3000, 85, 277740683, 0, 2.082808247
0, 20, 80000, 3000, 85, 278235982, 0, 2.087969718
0, 20, 80000, 3000, 85, 277710654, 0, 2.083906049
0, 20, 80000, 3000, 85, 278609577, 0, 2.091218541
0, 20, 80000, 4000, 85, 698068098, 0, 5.084174055
0, 20, 80000, 4000, 85, 699164469, 0, 5.091002003
0, 20, 80000, 4000, 85, 703486969, 0, 5.134024385
0, 20, 80000, 4000, 85, 702586336, 0, 5.128022287
0, 20, 80000, 4000, 85, 697351058, 0, 5.080233856
0, 20, 80000, 4000, 85, 699620950, 0, 5.091654707
0, 20, 80000, 4000, 85, 703386566, 0, 5.139716335
0, 20, 80000, 4000, 85, 697765548, 0, 5.068634100
0, 20, 80000, 4000, 85, 703620696, 0, 5.135801666
0, 20, 80000, 4000, 85, 703766876, 0, 5.139058052
1, 20, 80000, 2000, 85, 64866349, 0, 0.518844174
1, 20, 80000, 2000, 85, 65326859, 0, 0.517474672
1, 20, 80000, 2000, 85, 64682269, 0, 0.512469145
1, 20, 80000, 2000, 85, 65040545, 0, 0.516631697
1, 20, 80000, 2000, 85, 64408466, 0, 0.510015185
1, 20, 80000, 2000, 85, 64149128, 0, 0.506310228
1, 20, 80000, 2000, 85, 64704607, 0, 0.512651612
1, 20, 80000, 2000, 85, 65103959, 0, 0.517034361
1, 20, 80000, 2000, 85, 64914934, 0, 0.514024959
1, 20, 80000, 2000, 85, 65642776, 0, 0.517654774
1, 20, 80000, 3000, 85, 240548212, 0, 1.781849212
1, 20, 80000, 3000, 85, 246640115, 0, 1.830777223
1, 20, 80000, 3000, 85, 243173755, 0, 1.809766516
1, 20, 80000, 3000, 85, 238106081, 0, 1.769375745
1, 20, 80000, 3000, 85, 235924140, 0, 1.747227309
1, 20, 80000, 3000, 85, 233352125, 0, 1.731290827
1, 20, 80000, 3000, 85, 238679382, 0, 1.772132108
1, 20, 80000, 3000, 85, 234211253, 0, 1.735971754
1, 20, 80000, 3000, 85, 235060678, 0, 1.749558839
1, 20, 80000, 3000, 85, 239353513, 0, 1.776079559
1, 20, 80000, 4000, 85, 627235699, 0, 4.511843833
1, 20, 80000, 4000, 85, 640050120, 0, 4.661412147
1, 20, 80000, 4000, 85, 631665558, 0, 4.563878663
1, 20, 80000, 4000, 85, 638209426, 0, 4.607423487
1, 20, 80000, 4000, 85, 616411875, 0, 4.418179722
1, 20, 80000, 4000, 85, 634424341, 0, 4.589352016
1, 20, 80000, 4000, 85, 629246375, 0, 4.530067033
1, 20, 80000, 4000, 85, 627710612, 0, 4.515147967
1, 20, 80000, 4000, 85, 619252443, 0, 4.443506446
1, 20, 80000, 4000, 85, 626458418, 0, 4.507969334
2, 20, 80000, 2000, 85, 61395351, 0, 0.495393753
2, 20, 80000, 2000, 85, 60607450, 0, 0.483601826
2, 20, 80000, 2000, 85, 60595548, 0, 0.483863593
2, 20, 80000, 2000, 85, 61053188, 0, 0.486913926
2, 20, 80000, 2000, 85, 60861111, 0, 0.484558990
2, 20, 80000, 2000, 85, 61214810, 0, 0.487254049
2, 20, 80000, 2000, 85, 61379908, 0, 0.491923860
2, 20, 80000, 2000, 85, 61966699, 0, 0.490925581
2, 20, 80000, 2000, 85, 60888821, 0, 0.484223333
2, 20, 80000, 2000, 85, 61431301, 0, 0.489317423
2, 20, 80000, 3000, 85, 219245533, 0, 1.627447192
2, 20, 80000, 3000, 85, 216725215, 0, 1.610810642
2, 20, 80000, 3000, 85, 216267390, 0, 1.609345639
2, 20, 80000, 3000, 85, 213291995, 0, 1.585910847
2, 20, 80000, 3000, 85, 217263298, 0, 1.616248866
2, 20, 80000, 3000, 85, 216441523, 0, 1.602471866
2, 20, 80000, 3000, 85, 218736622, 0, 1.623889763
2, 20, 80000, 3000, 85, 216036922, 0, 1.604867113
2, 20, 80000, 3000, 85, 213848818, 0, 1.587677902
2, 20, 80000, 3000, 85, 215973690, 0, 1.605899044
2, 20, 80000, 4000, 85, 587386376, 0, 4.219210015
2, 20, 80000, 4000, 85, 598867974, 0, 4.328504343
2, 20, 80000, 4000, 85, 596687499, 0, 4.320211726
2, 20, 80000, 4000, 85, 586943444, 0, 4.214744659
2, 20, 80000, 4000, 85, 605597387, 0, 4.383755497
2, 20, 80000, 4000, 85, 588777607, 0, 4.228379810
2, 20, 80000, 4000, 85, 585083768, 0, 4.210455656
2, 20, 80000, 4000, 85, 588573077, 0, 4.237464119
2, 20, 80000, 4000, 85, 582840976, 0, 4.181537832
2, 20, 80000, 4000, 85, 591861034, 0, 4.251397793
0, 40, 80000, 2000, 85, 78074263, 0, 0.610592048
0, 40, 80000, 2000, 85, 77752608, 0, 0.602523971
0, 40, 80000, 2000, 85, 77807479, 0, 0.604375119
0, 40, 80000, 2000, 85, 78026046, 0, 0.605724999
0, 40, 80000, 2000, 85, 78008040, 0, 0.606244331
0, 40, 80000, 2000, 85, 77645064, 0, 0.602815964
0, 40, 80000, 2000, 85, 78022017, 0, 0.605776895
0, 40, 80000, 2000, 85, 77865340, 0, 0.604780108
0, 40, 80000, 2000, 85, 77862410, 0, 0.604074083
0, 40, 80000, 2000, 85, 77924301, 0, 0.605503269
0, 40, 80000, 3000, 85, 281639721, 0, 2.074176235
0, 40, 80000, 3000, 85, 281407239, 0, 2.076663279
0, 40, 80000, 3000, 85, 281186537, 0, 2.075252211
0, 40, 80000, 3000, 85, 281213514, 0, 2.074191195
0, 40, 80000, 3000, 85, 281231702, 0, 2.074998146
0, 40, 80000, 3000, 85, 281677074, 0, 2.076365333
0, 40, 80000, 3000, 85, 281152601, 0, 2.072105064
0, 40, 80000, 3000, 85, 281808116, 0, 2.079289484
0, 40, 80000, 3000, 85, 281343762, 0, 2.077813229
0, 40, 80000, 3000, 85, 283791510, 0, 2.097571697
0, 40, 80000, 4000, 85, 706706565, 0, 5.059776612
0, 40, 80000, 4000, 85, 710153639, 0, 5.094502334
0, 40, 80000, 4000, 85, 712874700, 0, 5.132068066
0, 40, 80000, 4000, 85, 709970229, 0, 5.092980846
0, 40, 80000, 4000, 85, 723888650, 0, 5.234794012
0, 40, 80000, 4000, 85, 707572530, 0, 5.072474794
0, 40, 80000, 4000, 85, 726199678, 0, 5.249369032
0, 40, 80000, 4000, 85, 720558702, 0, 5.206471284
0, 40, 80000, 4000, 85, 717399042, 0, 5.170984752
0, 40, 80000, 4000, 85, 719974232, 0, 5.188943914
1, 40, 80000, 2000, 85, 56648292, 0, 0.428872230
1, 40, 80000, 2000, 85, 56631080, 0, 0.425558103
1, 40, 80000, 2000, 85, 56609658, 0, 0.425609099
1, 40, 80000, 2000, 85, 57116371, 0, 0.430688377
1, 40, 80000, 2000, 85, 56983801, 0, 0.428370121
1, 40, 80000, 2000, 85, 56640785, 0, 0.425751116
1, 40, 80000, 2000, 85, 56865028, 0, 0.428067844
1, 40, 80000, 2000, 85, 57556737, 0, 0.434374416
1, 40, 80000, 2000, 85, 57160866, 0, 0.430947929
1, 40, 80000, 2000, 85, 56905190, 0, 0.429344131
1, 40, 80000, 3000, 85, 177317906, 0, 1.238007233
1, 40, 80000, 3000, 85, 177601534, 0, 1.241175844
1, 40, 80000, 3000, 85, 178879975, 0, 1.250088664
1, 40, 80000, 3000, 85, 177987277, 0, 1.243781902
1, 40, 80000, 3000, 85, 176851841, 0, 1.232671049
1, 40, 80000, 3000, 85, 177267612, 0, 1.238605371
1, 40, 80000, 3000, 85, 178363679, 0, 1.246967270
1, 40, 80000, 3000, 85, 178968292, 0, 1.253720529
1, 40, 80000, 3000, 85, 180811549, 0, 1.267395533
1, 40, 80000, 3000, 85, 176878087, 0, 1.235086335
1, 40, 80000, 4000, 85, 437941018, 0, 2.957939866
1, 40, 80000, 4000, 85, 439967318, 0, 2.974003750
1, 40, 80000, 4000, 85, 441537260, 0, 2.983374128
1, 40, 80000, 4000, 85, 445021445, 0, 3.005370782
1, 40, 80000, 4000, 85, 439760959, 0, 2.965064963
1, 40, 80000, 4000, 85, 443413355, 0, 2.988660502
1, 40, 80000, 4000, 85, 439664464, 0, 2.971440304
1, 40, 80000, 4000, 85, 438421852, 0, 2.962403284
1, 40, 80000, 4000, 85, 436307844, 0, 2.949197587
1, 40, 80000, 4000, 85, 450337837, 0, 3.041610085
2, 40, 80000, 2000, 85, 51211172, 0, 0.396540322
2, 40, 80000, 2000, 85, 51448965, 0, 0.397040145
2, 40, 80000, 2000, 85, 58179905, 0, 0.453250639
2, 40, 80000, 2000, 85, 51351247, 0, 0.394443414
2, 40, 80000, 2000, 85, 50942192, 0, 0.389280913
2, 40, 80000, 2000, 85, 51295034, 0, 0.392137570
2, 40, 80000, 2000, 85, 51197745, 0, 0.393522880
2, 40, 80000, 2000, 85, 50753104, 0, 0.388191780
2, 40, 80000, 2000, 85, 51023734, 0, 0.390338780
2, 40, 80000, 2000, 85, 51204275, 0, 0.392271455
2, 40, 80000, 3000, 85, 155363006, 0, 1.102533342
2, 40, 80000, 3000, 85, 156142788, 0, 1.108521144
2, 40, 80000, 3000, 85, 155054474, 0, 1.103087365
2, 40, 80000, 3000, 85, 154980620, 0, 1.099222263
2, 40, 80000, 3000, 85, 155170256, 0, 1.101324876
2, 40, 80000, 3000, 85, 154405794, 0, 1.093996876
2, 40, 80000, 3000, 85, 155442656, 0, 1.102019039
2, 40, 80000, 3000, 85, 156375148, 0, 1.107657559
2, 40, 80000, 3000, 85, 155599516, 0, 1.103326306
2, 40, 80000, 3000, 85, 156193143, 0, 1.108478839
2, 40, 80000, 4000, 85, 401545970, 0, 2.733166241
2, 40, 80000, 4000, 85, 393187714, 0, 2.680819176
2, 40, 80000, 4000, 85, 391723545, 0, 2.661542476
2, 40, 80000, 4000, 85, 406257383, 0, 2.793280491
2, 40, 80000, 4000, 85, 397322042, 0, 2.715484657
2, 40, 80000, 4000, 85, 391019629, 0, 2.669383938
2, 40, 80000, 4000, 85, 401774728, 0, 2.748968229
2, 40, 80000, 4000, 85, 396364587, 0, 2.698944710
2, 40, 80000, 4000, 85, 391365270, 0, 2.662767737
2, 40, 80000, 4000, 85, 389891824, 0, 2.655059198
0, 80, 80000, 2000, 85, 78700238, 0, 0.623574542
0, 80, 80000, 2000, 85, 77356979, 0, 0.612570967
0, 80, 80000, 2000, 85, 77100085, 0, 0.609886913
0, 80, 80000, 2000, 85, 78443586, 0, 0.615043132
0, 80, 80000, 2000, 85, 78378950, 0, 0.613078607
0, 80, 80000, 2000, 85, 77728012, 0, 0.614354866
0, 80, 80000, 2000, 85, 78635541, 0, 0.615525488
0, 80, 80000, 2000, 85, 78381085, 0, 0.615573497
0, 80, 80000, 2000, 85, 77139146, 0, 0.610545846
0, 80, 80000, 2000, 85, 78524031, 0, 0.615917455
0, 80, 80000, 3000, 85, 284345647, 0, 2.104988037
0, 80, 80000, 3000, 85, 282832406, 0, 2.090037957
0, 80, 80000, 3000, 85, 283012887, 0, 2.098387901
0, 80, 80000, 3000, 85, 285174136, 0, 2.109077811
0, 80, 80000, 3000, 85, 286721374, 0, 2.131951892
0, 80, 80000, 3000, 85, 285532594, 0, 2.122202148
0, 80, 80000, 3000, 85, 284000982, 0, 2.096712779
0, 80, 80000, 3000, 85, 284450200, 0, 2.104874016
0, 80, 80000, 3000, 85, 284443241, 0, 2.106394387
0, 80, 80000, 3000, 85, 282411448, 0, 2.091975750
0, 80, 80000, 4000, 85, 731846454, 0, 5.296086535
0, 80, 80000, 4000, 85, 730418541, 0, 5.296768539
